name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,imitation,notes
Ron Romanick,California Angels,1985,1985,P,donruss,85,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mark Langston,California Angels,1990,1989,P,leaf,155,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lee Smith,California Angels,1995,1995,P,upper deck,77,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Collector's Choice
Bo Jackson,California Angels,1994,1993,"OF, DH",upper deck,356,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Collector's Choice
Bo Jackson,California Angels,1994,1994,OF,upper deck,36,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Collector's Choice, Special Edition (Blue Border)"
Bret Campaneris,California Angels,1982,1981,SS,topps,772,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dante Bichette,California Angels,1990,1989,OF,leaf,340,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Wally Joyner,California Angels,1990,1989,1B,leaf,24,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ed Ott,California Angels,1982,1981,C,donruss,192,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tim Salmon,California Angels,1995,1994,OF,pinnacle,HG78,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hall of Gold
Mick Kelleher,California Angels,1983,1982,"3B, SS",topps,79,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
John Candelaria,California Angels,1986,1986,P,sportflics,145,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Darrell Miller,California Angels,1984,1984,"C, OF",donruss,644,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Geoff Zahn,California Angels,1984,1984,P,donruss,301,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Steve Renko,California Angels,1982,1981,P,topps,702,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bobby Grich,California Angels,1984,1984,2B,donruss,88,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Leaf variant
Dante Bichette,California Angels,1989,1988,OF,upper deck,24,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jim Abbott,California Angels,1989,1988,P,topps,2T,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brian Downing,California Angels,1984,1984,OF,donruss,223,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mike Witt,California Angels,1984,1984,P,donruss,46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
