name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,notes
Mike Fitzgerald,Montreal Expos,1986,1985,C,donruss,97,0,0,0,0,2,0,
Mike Phillips,Montreal Expos,1982,1981,"3B, 2B",topps,762,0,0,0,0,4,0,With printed signature
Chris Speier,Montreal Expos,1982,1981,SS,donruss,366,0,0,0,0,1,0,
John Milner,Montreal Expos,1982,1981,1B,topps,638,0,0,0,0,1,0,
Andre Dawson,Montreal Expos,1986,1985,OF,sportflics,139,0,0,0,0,1,1,3D card
Razor Shines,Montreal Expos,1984,1983,OF,donruss,164,0,0,0,0,2,0,
Dan Driessen,Montreal Expos,1984,1983,1B,donruss,255,0,0,0,0,1,0,
Dan Schatzeder,Montreal Expos,1985,1984,P,donruss,543,0,0,0,0,1,0,
Dan Schatzeder,Montreal Expos,1984,1984,P,donruss,59,0,0,0,0,1,0,Leaf Variant
Bill Gullickson,Montreal Expos,1984,1984,P,donruss,236,0,0,0,0,1,0,Leaf Variant
U.L. Washington,Montreal Expos,1985,1985,IF,donruss,498,0,0,0,0,1,0,
Jim Wohlford,Montreal Expos,1985,1984,OF,topps,787,0,0,0,0,1,0,
Bobby Ramos,Montreal Expos,1985,1984,C,topps,407,0,0,0,0,1,0,
Doug Flynn,Montreal Expos,1984,1984,2B,donruss,463,0,0,0,0,1,0,
Steve Rogers,Montreal Expos,1984,1984,P,donruss,192,0,0,0,0,1,0,Leaf Variant
Andre Dawson,Montreal Expos,1986,1985,OF,donruss,458,0,0,0,0,1,0,
Randy St. Claire,Montreal Expos,1984,1984,P,donruss,575,0,0,0,0,1,0,
Mike Stenhouse,Montreal Expos,1984,1984,OF,donruss,376,0,0,0,0,1,0,
Jim Wohlford,Montreal Expos,1984,1984,OF,donruss,82,0,0,0,0,1,0,Leaf Variant
Warren Cromartie,Montreal Expos,1982,1981,OF,topps,695,0,0,0,0,1,0,With printed signature
Tom Hutton,Montreal Expos,1981,1980,"1B, OF",topps,374,0,0,0,0,1,0,
Ray Burris,Montreal Expos,1982,1981,P,topps,227,0,0,0,0,2,0,With printed signature
Steve Rogers,Montreal Expos,1984,1983,P,topps,394,0,0,0,1,1,0,
Doug Flynn,Montreal Expos,1985,1984,2B,topps,554,0,0,0,0,1,0,
Mike Aldrete,Montreal Expos,1989,1988,OF,upper deck,738,0,0,0,0,1,0,
John Dopson,Montreal Expos,1989,1988,P,upper deck,57,0,0,0,0,1,0,
Woodie Fryman,Montreal Expos,1982,1981,P,fleer,189,0,0,0,0,1,0,
David Palmer,Montreal Expos,1982,1981,P,fleer,199,0,0,0,0,1,0,
Jerry Manuel,Montreal Expos,1982,1981,2B,fleer,195,0,0,0,0,1,0,
Warren Cromartie,Montreal Expos,1982,1981,"1B, OF",fleer,186,0,0,0,0,1,0,
Grant Jackson,Montreal Expos,1982,1981,P,fleer,191,0,0,0,0,1,0,
Rowland Office,Montreal Expos,1982,1981,OF,fleer,198,0,0,0,0,1,0,
Stan Bahnsen,Montreal Expos,1982,1981,P,fleer,183,0,0,0,0,1,0,
Brad Mills,Montreal Expos,1982,1981,3B,fleer,196,0,0,0,0,1,0,
Bill Lee,Montreal Expos,1982,1981,P,fleer,194,0,0,0,0,1,0,
Nelson Santovenia,Montreal Expos,1989,1988,C,upper deck,380,0,0,0,0,1,0,
Tim Raines,Montreal Expos,1989,1988,OF,upper deck,143,0,0,0,0,1,0,
Pascual Perez,Montreal Expos,1989,1988,P,topps,73,0,0,0,0,1,0,
Mark Gardner,Montreal Expos,1991,1990,P,topps,757,0,0,0,0,1,0,
Doug Piatt,Montreal Expos,1991,1991,P,donruss,640,0,0,0,0,1,0,
Ivan Calderon,Montreal Expos,1991,1990,OF,upper deck,226,0,0,0,0,1,0,
Chris Haney,Montreal Expos,1991,1990,P,upper deck,662,0,0,0,0,1,0,
Tim Wallach,Montreal Expos,1989,1989,3B,donruss,220,0,0,0,0,1,0,
Jeff Fassero,Montreal Expos,1993,1992,P,topps,178,0,0,0,0,1,1,Topps Gold
Tim Raines,Montreal Expos,1988,1988,OF,donruss,97,0,0,0,0,1,0,
Ivan Calderon,Montreal Expos,1992,1992,OF,donruss,196,0,0,0,0,1,0,
Todd Haney,Montreal Expos,1992,1992,2B,donruss,342,0,0,0,0,1,0,
Luis Rivera,Montreal Expos,1988,1988,SS,donruss,578,0,0,0,0,1,0,
Tim Laker,Montreal Expos,1993,1992,C,fleer,77,0,0,0,0,1,0,
Randy Johnson,Montreal Expos,1989,1988,P,topps,647,0,0,0,0,1,0,
Steve Frey,Montreal Expos,1990,1989,P,upper deck,397,0,0,0,0,1,0,
Andres Galarraga,Montreal Expos,1990,1989,1B,upper deck,456,0,0,0,0,1,0,
Tim Burke,Montreal Expos,1990,1989,P,upper deck,515,0,0,0,0,1,0,
Dennis Martinez,Montreal Expos,1990,1989,P,upper deck,385,0,0,0,0,1,0,
