name,team,year,season,position,brand,card_number,horizontal,rookie_card,opening_day,asg,count,special,attax,future_stars,chrome,gallery,first_bowman,parallel,refractor,all_star_rookie,stadium_club,heritage,allen_ginter,auto,numbered,imitation,notes
Team Card,San Diego Padres,2011,2010,team,topps,126,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kyle Blanks,San Diego Padres,2011,2010,OF,topps,627,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Will Venable,San Diego Padres,2011,2010,OF,topps,463,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Will Venable,San Diego Padres,2012,2011,OF,topps,132,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cedric Hunter,San Diego Padres,2011,2010,OF,topps,554,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cameron Maybin,San Diego Padres,2011,2010,OF,topps,569,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ryan Ludwick,San Diego Padres,2011,2010,OF,topps,383,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Scott Hairston,San Diego Padres,2011,2010,OF,topps,221,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brad Hawpe,San Diego Padres,2011,2010,1B,topps,572,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jason Bartlett,San Diego Padres,2011,2010,SS,topps,584,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Everth Cabrera,San Diego Padres,2011,2010,SS,topps,416,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chase Headley,San Diego Padres,2011,2010,3B,topps,206,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
